DateTime,520MX051D01.FIC0028.MEAS,520D007D02.TI0058.MEAS,530R001D01.FI0043.MEAS,530E001D01.FIC0015.MEAS,530R001D01.FIC0030.MEAS,530R001D01.FIC0047.MEAS,530C021D01.FIC0203.MEAS,530R001D02.FIC0230.MEAS,530R002D02.LI0010.MEAS,530M102D01.LIC0011.MEAS,530R002D02.PDI0148.MEAS,530M105D01.PDIC0149.MEAS,530F001D01.PIC0023.MEAS,530R002D02.TI0037.MEAS,530F001D01.TIC0012.MEAS,530M105D01.TIC0022.MEAS,530UZ1099E01.TZI0068A.MEAS,530M103D01.ZI2103A.MEAS,530M104D01.ZI2104A.MEAS,530M105D01.ZI2105A.MEAS,535D005D01.LI0011.MEAS,535INT920D01.TI0046.MEAS,labels
2024-12-06 01:06:00,4.52622413635254,126.94921875,2645.15869140625,1204.82043457031,2570.72387695313,308.875396728516,136.618362426758,5.49545478820801,51.5626640319824,28.7337265014648,870.703125,819.115051269531,1.4957811832428,729.653137207031,134.8125,685.7607421875,150.873016357422,21.439453125,20.876953125,66.94921875,13.4214763641357,57.099609375,0
2024-12-06 01:09:00,4.52622413635254,126.84375,2650.95239257813,1205.68139648438,2565.93505859375,308.579345703125,136.628799438477,5.49545478820801,53.1073989868164,28.5588436126709,948.4375,787.420654296875,1.4957811832428,729.498474121094,134.78125,686.2177734375,150.873016357422,21.474609375,20.876953125,66.962890625,13.321400642395,57.201171875,0
2024-12-06 01:12:00,4.52622413635254,126.720703125,2649.40063476563,1201.53771972656,2566.06640625,312.877502441406,136.815719604492,5.49545478820801,52.7409858703613,29.7315006256104,815.5078125,809.374267578125,1.4957811832428,729.378112792969,134.75,685.8955078125,150.873016357422,21.326171875,20.876953125,67.0234375,13.4183921813965,57.201171875,0
2024-12-06 01:15:00,4.52622413635254,126.9375,2650.71630859375,1208.43359375,2562.8466796875,311.337768554688,135.48161315918,5.49545478820801,56.1149368286133,30.0314140319824,684.84375,748.976440429688,1.4957811832428,729.395324707031,134.71875,684.8759765625,150.610504150391,21.541015625,20.876953125,67.533203125,13.4165821075439,57.099609375,0
2024-12-06 01:18:00,4.52622413635254,127.388671875,2645.98022460938,1205.3115234375,2570.57592773438,313.007141113281,135.550750732422,5.49545478820801,52.2652816772461,31.0095138549805,807.109375,770.1279296875,1.4957811832428,729.137512207031,134.6875,685.201171875,150.479248046875,21.85546875,20.876953125,67.296875,13.4189567565918,57.201171875,0
2024-12-06 01:21:00,4.52622413635254,127.60546875,2643.43041992188,1204.59460449219,2569.03393554688,308.854522705078,135.819412231445,5.49545478820801,51.2650299072266,30.8787822723389,762.2265625,826.980346679688,1.4957811832428,728.828125,134.6875,685.517578125,150.479248046875,21.302734375,20.876953125,66.94140625,13.4296970367432,57.302734375,0
2024-12-06 01:24:00,4.52622413635254,127.5,2644.62158203125,1206.1591796875,2569.53662109375,308.774353027344,135.717132568359,5.49545478820801,52.2576942443848,29.5799446105957,703.359375,807.004577636719,1.4957811832428,728.518737792969,134.71875,685.74609375,150.610504150391,21.482421875,20.876953125,67.125,13.3186340332031,57.201171875,0
2024-12-06 01:27:00,4.52622413635254,127.388671875,2655.97509765625,1204.84631347656,2563.32592773438,313.241149902344,135.678634643555,5.49545478820801,55.835319519043,28.8981895446777,713.125,756.251647949219,1.4957811832428,728.810974121094,134.6875,684.92578125,150.216735839844,21.130859375,20.876953125,67.60546875,13.4241342544556,57.099609375,0
2024-12-06 01:30:00,4.52622413635254,127.04296875,2645.31713867188,1205.88549804688,2570.02685546875,309.984405517578,135.865921020508,5.49545478820801,53.4249725341797,29.4551277160645,817.734375,817.492858886719,1.4957811832428,728.621887207031,134.625,684.59765625,149.822952270508,21.1640625,20.876953125,67.1953125,13.4241342544556,57.099609375,0
2024-12-06 01:33:00,4.52622413635254,126.83203125,2651.77514648438,1203.46899414063,2568.70141601563,309.733978271484,135.720626831055,5.49545478820801,52.3462448120117,30.845006942749,923.90625,797.356384277344,1.4957811832428,728.3984375,134.5,684.8291015625,149.560440063477,22.068359375,20.876953125,67.056640625,13.4249887466431,57.099609375,0
2024-12-06 01:36:00,4.52622413635254,126.9375,2652.81787109375,1205.59521484375,2564.42578125,307.695037841797,135.893615722656,5.49545478820801,52.7889022827148,30.9888172149658,934.1015625,775.534118652344,1.4957811832428,728.140625,134.3125,684.275390625,149.560440063477,21.490234375,20.876953125,67.46875,13.4308004379272,57.099609375,0
